Item ID	 UOM	 Item Name	
100P0015		20-30 KVA 300-350 C FRAME HAWKINS100P0016		CYL. MTG. PLATE100P0017		PROFILE PLATE - RHS100P0018		PROFILE PLATE - LHS100P0019		FRONT PLATE100P0020		SLIDE MTG. PLATE100P0021		MS ANGLE100P0022		P.T. MTG. ANGLE100P0023		P.T. PLATE MTG. ANGLE100P0024		P.T. MTG. PLATE100P0025		BRIGHT FLAT100P0026		RIB - 2100P0027		RIB - 1100P0028		BASE PLATE100P0029		ANVIL 140 MM100P0030		VERTICAL RIB100P0031		SUPPORT PLATE100P0032		BOTTOM BACKLITE 140 MM ANVIL100P0033		SPACER BAKELITE100P0034		FRONT BAKELITE-BOTTOM100P0035		FRONT BAKELITE-TOPItem ID	 UOM	 Item Name	
100P0036		20-30 KVA 300-350 C FRAME HAWKINS
100P0037		CYL. MTG. PLATE
100P0038		PROFILE PLATE - RHS
100P0039		PROFILE PLATE - LHS
100P0040		FRONT PLATE
100P0041		SLIDE MTG. PLATE
100P0042		MS ANGLE
100P0043		P.T. MTG. ANGLE
100P0044		P.T. PLATE MTG. ANGLE
100P0045		P.T. MTG. PLATE
100P0046		BRIGHT FLAT
100P0047		RIB - 2
100P0048		RIB - 1
100P0049		BASE PLATE
100P0050		ANVIL 140 MM
100P0051		VERTICAL RIB
100P0052		SUPPORT PLATE
100P0053		BOTTOM BACKLITE 140 MM ANVIL
100P0054		SPACER BAKELITE
100P0055		FRONT BAKELITE-BOTTOM
100P0056		FRONT BAKELITE-TOP
Item ID	 UOM	 Item Name	
100P0057		20-30 KVA 300-350 C FRAME HAWKINS
100P0058		CYL. MTG. PLATE
100P0059		PROFILE PLATE - RHS
100P0060		PROFILE PLATE - LHS
100P0061		FRONT PLATE
100P0062		SLIDE MTG. PLATE
100P0063		MS ANGLE
100P0064		P.T. MTG. ANGLE
100P0065		P.T. PLATE MTG. ANGLE
100P0066		P.T. MTG. PLATE
100P0067		BRIGHT FLAT
100P0068		RIB - 2
100P0069		RIB - 1
100P0070		BASE PLATE
100P0071		ANVIL 140 MM
100P0072		VERTICAL RIB
100P0073		SUPPORT PLATE
100P0074		BOTTOM BACKLITE 140 MM ANVIL
100P0075		SPACER BAKELITE
100P0076		FRONT BAKELITE-BOTTOM
100P0077		FRONT BAKELITE-TOP


Item ID		 UOM	 Item Name	
100P0078		20-30 KVA 300-350 C FRAME HAWKINS
100P0079		CYL. MTG. PLATE
100P0080		PROFILE PLATE - RHS
100P0081		PROFILE PLATE - LHS
100P0082		FRONT PLATE
100P0083		SLIDE MTG. PLATE
100P0084		MS ANGLE
100P0085		P.T. MTG. ANGLE
100P0086		P.T. PLATE MTG. ANGLE
100P0087		P.T. MTG. PLATE
100P0088		BRIGHT FLAT
100P0089		RIB - 2
100P0090		RIB - 1
100P0091		BASE PLATE
100P0092		ANVIL 140 MM
100P0093		VERTICAL RIB
100P0094		SUPPORT PLATE
100P0095		BOTTOM BACKLITE 140 MM ANVIL
100P0096		SPACER BAKELITE
100P0097		FRONT BAKELITE-BOTTOM
100P0098		FRONT BAKELITE-TOP


Item ID		 UOM	 Item Name	
100P0100		20-30 KVA 300-350 C FRAME HAWKINS
100P0101		CYL. MTG. PLATE
100P0102		PROFILE PLATE - RHS
100P0103		PROFILE PLATE - LHS
100P0104		FRONT PLATE
100P0105		SLIDE MTG. PLATE
100P0106		MS ANGLE
100P0107		P.T. MTG. ANGLE
100P0108		P.T. PLATE MTG. ANGLE
100P0109		P.T. MTG. PLATE
100P0110		BRIGHT FLAT
100P0111		RIB - 2
100P0112		RIB - 1
100P0113		BASE PLATE
100P0114		ANVIL 140 MM
100P0115		VERTICAL RIB
100P0116		SUPPORT PLATE
100P0117		BOTTOM BACKLITE 140 MM ANVIL
100P0118		SPACER BAKELITE
100P0119		FRONT BAKELITE-BOTTOM
100P0120		FRONT BAKELITE-TOP


Item ID		 UOM	 Item Name	
100P0121		20-30 KVA 300-350 C FRAME HAWKINS
100P0122		CYL. MTG. PLATE
100P0123		PROFILE PLATE - RHS
100P0124		PROFILE PLATE - LHS
100P0125		FRONT PLATE
100P0126		SLIDE MTG. PLATE
100P0127		MS ANGLE
100P0128		P.T. MTG. ANGLE
100P0129		P.T. PLATE MTG. ANGLE
100P0130		P.T. MTG. PLATE
100P0131		BRIGHT FLAT
100P0132		RIB - 2
100P0133		RIB - 1
100P0134		BASE PLATE
100P0135		ANVIL 140 MM
100P0136		VERTICAL RIB
100P0137		SUPPORT PLATE
100P0138		BOTTOM BACKLITE 140 MM ANVIL
100P0139		SPACER BAKELITE
100P0140		FRONT BAKELITE-BOTTOM
100P0141		FRONT BAKELITE-TOP


Item ID		 UOM	 Item Name	
100P0142		20-30 KVA 300-350 C FRAME HAWKINS
100P0143		CYL. MTG. PLATE
100P0144		PROFILE PLATE - RHS
100P0145		PROFILE PLATE - LHS
100P0146		FRONT PLATE
100P0147		SLIDE MTG. PLATE
100P0148		MS ANGLE
100P0149		P.T. MTG. ANGLE
100P0150		P.T. PLATE MTG. ANGLE
100P0151		P.T. MTG. PLATE
100P0152		BRIGHT FLAT
100P0153		RIB - 2
100P0154		RIB - 1
100P0155		BASE PLATE
100P0156		ANVIL 140 MM
100P0157		VERTICAL RIB
100P0158		SUPPORT PLATE
100P0159		BOTTOM BACKLITE 140 MM ANVIL
100P0160		SPACER BAKELITE
100P0161		FRONT BAKELITE-BOTTOM
100P0162		FRONT BAKELITE-TOP


Item ID		 UOM	 Item Name	
100P0163		20-30 KVA 300-350 C FRAME HAWKINS
100P0164		CYL. MTG. PLATE
100P0165		PROFILE PLATE - RHS
100P0166		PROFILE PLATE - LHS
100P0167		FRONT PLATE
100P0168		SLIDE MTG. PLATE
100P0169		MS ANGLE
100P0170		P.T. MTG. ANGLE
100P0171		P.T. PLATE MTG. ANGLE
100P0172		P.T. MTG. PLATE
100P0173		BRIGHT FLAT
100P0174		RIB - 2
100P0175		RIB - 1
100P0176		BASE PLATE
100P0177		ANVIL 140 MM
100P0178		VERTICAL RIB
100P0179		SUPPORT PLATE
100P0180		BOTTOM BACKLITE 140 MM ANVIL
100P0181		SPACER BAKELITE
100P0182		FRONT BAKELITE-BOTTOM
100P0183		FRONT BAKELITE-TOP


Item ID		 UOM	 Item Name	
100P0184		20-30 KVA 300-350 C FRAME HAWKINS
100P0185		CYL. MTG. PLATE
